aug,img_size,model,class,precision,recall,f1,support
aug_light,64,mobilenet_v2,impetigo,0.8695652173913043,1.0,0.9302325581395349,
aug_light,80,mobilenet_v2,impetigo,1.0,1.0,1.0,
aug_light,96,mobilenet_v2,impetigo,1.0,1.0,1.0,
aug_light,112,mobilenet_v2,impetigo,0.8695652173913043,1.0,0.9302325581395349,
aug_light,128,mobilenet_v2,impetigo,1.0,0.9,0.9473684210526315,
aug_light,160,mobilenet_v2,impetigo,1.0,1.0,1.0,
aug_light,192,mobilenet_v2,impetigo,1.0,1.0,1.0,
aug_light,224,mobilenet_v2,impetigo,1.0,1.0,1.0,
aug_light,256,mobilenet_v2,impetigo,1.0,1.0,1.0,
aug_light,299,mobilenet_v2,impetigo,0.9523809523809523,1.0,0.975609756097561,
aug_light,32,mobilenet_v2,prickly_heat,0.75,0.3,0.42857142857142855,
aug_light,40,mobilenet_v2,prickly_heat,0.75,0.75,0.75,
aug_light,48,mobilenet_v2,prickly_heat,0.8333333333333334,0.75,0.7894736842105263,
aug_light,56,mobilenet_v2,prickly_heat,0.8947368421052632,0.85,0.8717948717948718,
aug_light,64,mobilenet_v2,prickly_heat,0.85,0.85,0.85,
aug_light,80,mobilenet_v2,prickly_heat,0.7692307692307693,1.0,0.8695652173913043,
aug_light,96,mobilenet_v2,prickly_heat,1.0,0.85,0.918918918918919,
aug_light,112,mobilenet_v2,prickly_heat,0.8181818181818182,0.9,0.8571428571428571,
aug_light,128,mobilenet_v2,prickly_heat,0.95,0.95,0.95,
aug_light,160,mobilenet_v2,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,192,mobilenet_v2,prickly_heat,0.9523809523809523,1.0,0.975609756097561,
aug_light,224,mobilenet_v2,prickly_heat,0.9473684210526315,0.9,0.9230769230769231,
aug_light,256,mobilenet_v2,prickly_heat,0.9473684210526315,0.9,0.9230769230769231,
aug_light,299,mobilenet_v2,prickly_heat,0.9444444444444444,0.85,0.8947368421052632,
aug_light,32,mobilenet_v2,sarcoptes_scabiei,0.0,0.0,0.0,
aug_light,40,mobilenet_v2,sarcoptes_scabiei,0.5294117647058824,0.45,0.4864864864864865,
aug_light,48,mobilenet_v2,sarcoptes_scabiei,0.5555555555555556,0.25,0.3448275862068966,
aug_light,56,mobilenet_v2,sarcoptes_scabiei,0.5263157894736842,0.5,0.5128205128205128,
aug_light,64,mobilenet_v2,sarcoptes_scabiei,0.4166666666666667,0.25,0.3125,
aug_light,80,mobilenet_v2,sarcoptes_scabiei,0.7857142857142857,0.55,0.6470588235294118,
aug_light,96,mobilenet_v2,sarcoptes_scabiei,0.6470588235294118,0.55,0.5945945945945946,
aug_light,112,mobilenet_v2,sarcoptes_scabiei,0.55,0.55,0.55,
aug_light,128,mobilenet_v2,sarcoptes_scabiei,0.7272727272727273,0.4,0.5161290322580645,
aug_light,160,mobilenet_v2,sarcoptes_scabiei,0.9333333333333333,0.7,0.8,
aug_light,192,mobilenet_v2,sarcoptes_scabiei,0.9090909090909091,0.5,0.6451612903225806,
aug_light,224,mobilenet_v2,sarcoptes_scabiei,0.8,0.6,0.6857142857142857,
aug_light,256,mobilenet_v2,sarcoptes_scabiei,0.8,0.6,0.6857142857142857,
aug_light,299,mobilenet_v2,sarcoptes_scabiei,0.8333333333333334,0.5,0.625,
aug_light,32,mobilenet_v2,tinea_corporis,0.0,0.0,0.0,
aug_light,40,mobilenet_v2,tinea_corporis,0.3,0.45,0.36,
aug_light,48,mobilenet_v2,tinea_corporis,0.3157894736842105,0.6,0.41379310344827586,
aug_light,56,mobilenet_v2,tinea_corporis,0.5,0.55,0.5238095238095238,
aug_light,64,mobilenet_v2,tinea_corporis,0.4166666666666667,0.75,0.5357142857142857,
aug_light,80,mobilenet_v2,tinea_corporis,0.3448275862068966,0.5,0.40816326530612246,
aug_light,96,mobilenet_v2,tinea_corporis,0.34615384615384615,0.45,0.391304347826087,
