InputSize,Model,Aug,Class,precision,recall,f1,support
48,densenet121,noaug,prickly_heat,1.0,1.0,1.0,20
56,densenet121,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
56,densenet121,noaug,prickly_heat,1.0,1.0,1.0,20
64,densenet121,aug_light,prickly_heat,1.0,0.9,0.9473684210526315,20
64,densenet121,noaug,prickly_heat,1.0,1.0,1.0,20
80,densenet121,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
80,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
96,densenet121,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
96,densenet121,noaug,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
112,densenet121,aug_light,prickly_heat,0.9047619047619048,0.95,0.926829268292683,20
112,densenet121,noaug,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
128,densenet121,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
128,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
160,densenet121,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
160,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
192,densenet121,aug_light,prickly_heat,1.0,1.0,1.0,20
192,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
224,densenet121,aug_light,prickly_heat,1.0,0.9,0.9473684210526315,20
224,densenet121,noaug,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
256,densenet121,aug_light,prickly_heat,1.0,1.0,1.0,20
256,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
299,densenet121,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
299,densenet121,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
32,efficientnet_b0,aug_light,prickly_heat,0.8095238095238095,0.85,0.8292682926829268,20
32,efficientnet_b0,noaug,prickly_heat,0.9,0.9,0.9,20
40,efficientnet_b0,aug_light,prickly_heat,0.8888888888888888,0.8,0.8421052631578947,20
40,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
48,efficientnet_b0,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
48,efficientnet_b0,noaug,prickly_heat,1.0,1.0,1.0,20
56,efficientnet_b0,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
56,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
64,efficientnet_b0,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
64,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
80,efficientnet_b0,aug_light,prickly_heat,0.8695652173913043,1.0,0.9302325581395349,20
80,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
96,efficientnet_b0,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
96,efficientnet_b0,noaug,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
112,efficientnet_b0,aug_light,prickly_heat,0.9090909090909091,1.0,0.9523809523809523,20
112,efficientnet_b0,noaug,prickly_heat,0.8695652173913043,1.0,0.9302325581395349,20
128,efficientnet_b0,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
128,efficientnet_b0,noaug,prickly_heat,0.8695652173913043,1.0,0.9302325581395349,20
160,efficientnet_b0,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
160,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
192,efficientnet_b0,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
192,efficientnet_b0,noaug,prickly_heat,1.0,1.0,1.0,20
224,efficientnet_b0,aug_light,prickly_heat,1.0,0.9,0.9473684210526315,20
224,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
256,efficientnet_b0,aug_light,prickly_heat,1.0,1.0,1.0,20
256,efficientnet_b0,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
299,efficientnet_b0,aug_light,prickly_heat,1.0,1.0,1.0,20
299,efficientnet_b0,noaug,prickly_heat,1.0,1.0,1.0,20
80,inception_v3,aug_light,prickly_heat,1.0,0.9,0.9473684210526315,20
80,inception_v3,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
96,inception_v3,aug_light,prickly_heat,0.9473684210526315,0.9,0.9230769230769231,20
96,inception_v3,noaug,prickly_heat,1.0,1.0,1.0,20
112,inception_v3,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
112,inception_v3,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
128,inception_v3,aug_light,prickly_heat,1.0,1.0,1.0,20
128,inception_v3,noaug,prickly_heat,1.0,1.0,1.0,20
160,inception_v3,aug_light,prickly_heat,1.0,1.0,1.0,20
160,inception_v3,noaug,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
192,inception_v3,aug_light,prickly_heat,1.0,1.0,1.0,20
192,inception_v3,noaug,prickly_heat,1.0,1.0,1.0,20
224,inception_v3,aug_light,prickly_heat,1.0,1.0,1.0,20
224,inception_v3,noaug,prickly_heat,1.0,1.0,1.0,20
256,inception_v3,aug_light,prickly_heat,1.0,1.0,1.0,20
256,inception_v3,noaug,prickly_heat,1.0,1.0,1.0,20
299,inception_v3,aug_light,prickly_heat,0.9523809523809523,1.0,0.975609756097561,20
299,inception_v3,noaug,prickly_heat,1.0,1.0,1.0,20
32,mobilenet_v2,aug_light,prickly_heat,0.75,0.3,0.42857142857142855,20
32,mobilenet_v2,noaug,prickly_heat,1.0,0.8,0.8888888888888888,20
